Dates;Type;Price;Size
1/16/2023 9:44:36 AM;TRADE;9.22;1000
1/16/2023 9:44:40 AM;BEST_BID;9.04;960
1/16/2023 9:44:49 AM;TRADE;9.46;4
1/16/2023 9:44:49 AM;BEST_ASK;9.46;3896
1/16/2023 9:51:34 AM;BEST_ASK;9.46;11496
1/16/2023 9:59:42 AM;BEST_BID;9.06;600
1/16/2023 10:07:53 AM;BEST_ASK;9.46;8996
1/16/2023 10:07:53 AM;TRADE;9.46;996
1/16/2023 10:07:53 AM;TRADE;9.46;1504
1/16/2023 10:08:01 AM;BEST_ASK;9.46;7600
1/16/2023 10:08:06 AM;BEST_ASK;9.44;1000
1/16/2023 10:08:29 AM;BEST_BID;9.06;3800
1/16/2023 10:08:33 AM;BEST_BID;9.06;3200
1/16/2023 10:08:54 AM;BEST_BID;9.08;250
1/16/2023 10:09:33 AM;BEST_BID;8.8;1900
1/16/2023 10:09:33 AM;BEST_ASK;9;2190
1/16/2023 10:09:33 AM;TRADE;9.08;250
1/16/2023 10:09:33 AM;TRADE;9.06;3200
1/16/2023 10:09:33 AM;TRADE;9.04;960
1/16/2023 10:09:33 AM;TRADE;9;1000
1/16/2023 10:09:48 AM;BEST_BID;8.82;1777
1/16/2023 10:10:24 AM;BEST_BID;8.84;900
1/16/2023 10:10:58 AM;BEST_ASK;9;1190
1/16/2023 10:10:58 AM;TRADE;9;1000
1/16/2023 10:11:19 AM;BEST_ASK;9.38;2000
1/16/2023 10:11:19 AM;TRADE;9;1190
1/16/2023 10:11:24 AM;BEST_BID;8.86;799
1/16/2023 10:11:26 AM;BEST_ASK;9.36;3000
1/16/2023 10:11:46 AM;BEST_BID;8.9;250
1/16/2023 10:12:18 AM;BEST_ASK;9.34;2000
1/16/2023 10:12:40 AM;BEST_ASK;9.3;3000
1/16/2023 10:13:18 AM;BEST_BID;8.84;900
1/16/2023 10:15:12 AM;BEST_BID;8.86;600
1/16/2023 10:15:21 AM;BEST_ASK;9.3;2990
1/16/2023 10:15:21 AM;TRADE;9.3;10
1/16/2023 10:15:28 AM;BEST_ASK;9.28;2990
1/16/2023 10:16:00 AM;BEST_ASK;9.26;2055
1/16/2023 10:16:06 AM;BEST_ASK;9.24;1000
1/16/2023 10:16:08 AM;BEST_ASK;9.24;3990
1/16/2023 10:16:11 AM;BEST_ASK;9.22;2990
1/16/2023 10:16:17 AM;BEST_BID;8.84;900
1/16/2023 10:16:21 AM;BEST_ASK;9;2055
1/16/2023 10:16:54 AM;BEST_ASK;9.22;2990
1/16/2023 10:17:26 AM;BEST_BID;8.86;250
1/16/2023 10:19:24 AM;BEST_BID;8.88;500
1/16/2023 10:19:30 AM;BEST_ASK;9.2;1000
1/16/2023 10:19:42 AM;BEST_ASK;9.18;2990
1/16/2023 10:20:07 AM;BEST_BID;8.88;1400
1/16/2023 10:20:16 AM;BEST_BID;8.9;900
1/16/2023 10:20:25 AM;BEST_BID;8.92;300
1/16/2023 10:29:59 AM;BEST_BID;8.9;900
1/16/2023 10:36:37 AM;BEST_ASK;9.16;1000
1/16/2023 10:37:31 AM;BEST_BID;9.04;12
1/16/2023 10:37:59 AM;BEST_ASK;9.14;2990
1/16/2023 10:38:05 AM;BEST_ASK;9.14;3040
1/16/2023 10:38:10 AM;BEST_BID;8.9;900
1/16/2023 10:38:14 AM;BEST_BID;8.8;141
1/16/2023 10:38:14 AM;TRADE;8.9;900
1/16/2023 10:38:14 AM;TRADE;8.82;1777
1/16/2023 10:38:14 AM;TRADE;8.82;1864
1/16/2023 10:38:14 AM;TRADE;8.82;600
1/16/2023 10:38:14 AM;TRADE;8.8;859
1/16/2023 10:38:14 AM;BEST_BID;8.76;500
1/16/2023 10:38:14 AM;BEST_ASK;8.8;359
1/16/2023 10:38:14 AM;TRADE;8.8;141
1/16/2023 10:38:38 AM;BEST_BID;8.62;260
1/16/2023 10:38:38 AM;TRADE;8.76;500
1/16/2023 10:39:21 AM;BEST_BID;8.64;1000
1/16/2023 10:40:42 AM;BEST_BID;8.64;540
1/16/2023 10:40:42 AM;TRADE;8.64;460
1/16/2023 10:41:08 AM;BEST_BID;8.8;1
1/16/2023 10:41:08 AM;BEST_ASK;8.92;363
1/16/2023 10:41:08 AM;TRADE;8.8;359
1/16/2023 10:41:23 AM;BEST_BID;8.7;1
1/16/2023 10:41:33 AM;BEST_ASK;8.92;351
1/16/2023 10:41:33 AM;TRADE;8.92;12
1/16/2023 10:41:33 AM;BEST_ASK;9.1;1000
1/16/2023 10:41:47 AM;BEST_BID;8.7;501
1/16/2023 10:41:48 AM;BEST_BID;8.7;500
1/16/2023 10:41:48 AM;BEST_ASK;9.1;999
1/16/2023 10:41:48 AM;TRADE;9.1;1
1/16/2023 10:41:50 AM;BEST_ASK;9.08;3090
1/16/2023 10:42:02 AM;BEST_BID;8.72;540
1/16/2023 10:42:12 AM;BEST_BID;8.74;250
1/16/2023 10:45:32 AM;BEST_BID;8.74;850
1/16/2023 10:46:49 AM;BEST_BID;8.74;1350
1/16/2023 10:47:10 AM;BEST_BID;8.76;780
1/16/2023 10:47:22 AM;BEST_BID;9;2100
1/16/2023 10:47:45 AM;TRADE;9;2000
1/16/2023 10:47:45 AM;BEST_BID;9;100
1/16/2023 10:47:54 AM;BEST_BID;8.76;780
1/16/2023 10:47:54 AM;TRADE;9;100
1/16/2023 10:48:26 AM;BEST_BID;9;6200
1/16/2023 10:48:47 AM;BEST_BID;9;5480
1/16/2023 10:48:47 AM;TRADE;9;720
1/16/2023 10:48:55 AM;BEST_BID;8.76;780
1/16/2023 10:48:55 AM;TRADE;9;5480
1/16/2023 10:49:14 AM;BEST_BID;8.76;768
1/16/2023 10:49:14 AM;TRADE;8.76;12
1/16/2023 10:49:24 AM;BEST_BID;8.76;788
1/16/2023 10:49:31 AM;BEST_ASK;8.98;125
1/16/2023 10:49:50 AM;BEST_BID;8.74;788
1/16/2023 10:50:09 AM;BEST_BID;8.74;766
1/16/2023 10:50:09 AM;TRADE;8.74;22
1/16/2023 10:50:56 AM;BEST_BID;8.8;1280
1/16/2023 10:51:14 AM;BEST_ASK;9.08;3090
1/16/2023 10:51:31 AM;BEST_BID;8.8;3280
1/16/2023 10:52:51 AM;BEST_BID;8.82;540
1/16/2023 10:55:39 AM;BEST_ASK;9.16;3090
1/16/2023 10:55:46 AM;BEST_ASK;8.98;22
1/16/2023 10:55:49 AM;BEST_BID;8.82;1140
1/16/2023 10:59:57 AM;BEST_ASK;8.96;100
1/16/2023 11:00:24 AM;BEST_ASK;9.04;44
1/16/2023 11:00:24 AM;TRADE;8.96;100
1/16/2023 11:00:24 AM;TRADE;8.98;22
1/16/2023 11:00:35 AM;BEST_ASK;9.1;999
1/16/2023 11:01:41 AM;TRADE;8.82;12
1/16/2023 11:01:41 AM;BEST_BID;8.82;1128
1/16/2023 11:01:48 AM;BEST_ASK;9.08;3090
1/16/2023 11:02:00 AM;TRADE;9.08;3090
1/16/2023 11:02:00 AM;TRADE;9.1;999
1/16/2023 11:02:00 AM;BEST_BID;9.1;11
1/16/2023 11:02:00 AM;BEST_ASK;9.2;387
1/16/2023 11:02:04 AM;BEST_BID;8.82;1128
1/16/2023 11:02:14 AM;BEST_BID;9;600
1/16/2023 11:02:20 AM;BEST_BID;9.02;1528
1/16/2023 11:02:43 AM;BEST_BID;9.02;3528
1/16/2023 11:02:54 AM;BEST_BID;9.04;600
1/16/2023 11:05:19 AM;BEST_BID;9.04;2100
1/16/2023 11:06:09 AM;TRADE;9.2;387
1/16/2023 11:06:09 AM;BEST_BID;9.2;838
1/16/2023 11:06:09 AM;BEST_ASK;9.28;1777
1/16/2023 11:06:09 AM;BEST_BID;9.2;568
1/16/2023 11:06:09 AM;TRADE;9.2;270
1/16/2023 11:06:23 AM;BEST_BID;9.04;2100
1/16/2023 11:06:23 AM;BEST_ASK;9.2;1432
1/16/2023 11:06:23 AM;TRADE;9.2;568
1/16/2023 11:06:32 AM;BEST_ASK;9.2;3209
1/16/2023 11:06:56 AM;BEST_BID;9.04;600
1/16/2023 11:07:09 AM;TRADE;9.2;800
1/16/2023 11:07:09 AM;BEST_ASK;9.2;2409
1/16/2023 11:07:56 AM;BEST_BID;9.04;596
1/16/2023 11:07:56 AM;TRADE;9.04;4
1/16/2023 11:08:08 AM;BEST_BID;9.02;596
1/16/2023 11:08:15 AM;BEST_BID;9.02;1096
1/16/2023 11:08:25 AM;BEST_BID;9.02;1596
1/16/2023 11:11:46 AM;BEST_BID;9.02;1096
1/16/2023 11:11:48 AM;BEST_BID;9.02;596
1/16/2023 11:12:22 AM;BEST_BID;9.04;1528
1/16/2023 11:13:51 AM;BEST_ASK;9.2;3266
1/16/2023 11:19:37 AM;BEST_ASK;9.2;3241
1/16/2023 11:19:37 AM;TRADE;9.2;25
1/16/2023 11:23:56 AM;BEST_BID;9.06;596
1/16/2023 11:24:30 AM;BEST_BID;9.04;1528
1/16/2023 11:27:51 AM;BEST_BID;9.04;1328
1/16/2023 11:27:51 AM;TRADE;9.04;200
1/16/2023 11:29:51 AM;BEST_BID;9.06;750
1/16/2023 11:38:21 AM;BEST_BID;9.04;1328
1/16/2023 11:39:02 AM;BEST_ASK;9.18;800
1/16/2023 11:39:56 AM;BEST_BID;9.02;1328
1/16/2023 11:41:39 AM;BEST_ASK;9.18;790
1/16/2023 11:41:39 AM;TRADE;9.18;10
1/16/2023 11:53:44 AM;BEST_ASK;9.1;130
1/16/2023 11:54:14 AM;BEST_ASK;9.18;790
1/16/2023 11:54:14 AM;TRADE;9.1;130
1/16/2023 11:57:44 AM;BEST_ASK;9.12;225
1/16/2023 11:59:44 AM;BEST_BID;9.02;828
1/16/2023 11:59:44 AM;TRADE;9.02;500
1/16/2023 12:00:52 PM;BEST_BID;9.04;500
1/16/2023 12:01:03 PM;BEST_ASK;9.18;790
1/16/2023 12:01:03 PM;TRADE;9.12;225
1/16/2023 12:01:23 PM;BEST_ASK;9.16;700
1/16/2023 12:01:33 PM;BEST_BID;9;3100
1/16/2023 12:02:00 PM;BEST_BID;9.02;500
1/16/2023 12:02:52 PM;BEST_BID;9.02;750
1/16/2023 12:04:27 PM;BEST_BID;9.02;500
1/16/2023 12:19:11 PM;BEST_BID;9.14;500
1/16/2023 12:19:43 PM;BEST_BID;9.02;500
1/16/2023 12:19:43 PM;BEST_ASK;9.14;107
1/16/2023 12:19:43 PM;TRADE;9.14;500
1/16/2023 12:20:31 PM;BEST_BID;9;810
1/16/2023 12:20:31 PM;TRADE;9.02;500
1/16/2023 12:20:31 PM;TRADE;9;2290
1/16/2023 12:20:57 PM;BEST_BID;8.82;766
